Group,Set,ID,B Area,B Length,B Thickness,PR (nu),R Area,R Length,R Location,Contacts,dR/dX,GF,dR/R_0,Strain,nR
1.00E+00,1.00E+00,7H,6.42E+02,6.42E+01,0.26,0.5,46.25,8.00E+00,0.00E+00,FM,4.00E-04,0.028252982,4.79798,0.169822069,6.79288
1.00E+00,1.00E+00,7I,5.92E+02,5.92E+01,0.26,0.5,46.25,8.00E+00,0.00E+00,FM,6.06E-04,0.029013045,5.384615,0.185592908,7.42372
1.00E+00,1.00E+00,7J,5.42E+02,5.42E+01,0.26,0.5,46.25,8.00E+00,0.00E+00,FM,1.25E-03,0.032690228,6.692407,0.204721931,8.18888
1.00E+00,1.00E+00,7K,4.92E+02,4.92E+01,0.26,0.5,46.25,8.00E+00,0.00E+00,FM,1.13E-03,0.029721386,6.789649,0.228443212,9.13772
1.00E+00,1.00E+00,7A,4.42E+02,4.42E+01,0.26,0.5,46.25,8.00E+00,0.00E+00,FM,1.80E-03,0.030834973,7.575758,0.245687184,9.82748
1.00E+00,1.00E+00,7B,3.92E+02,3.92E+01,0.26,0.5,46.25,8.00E+00,0.00E+00,FM,2.20E-03,0.020244946,7.98722,0.394529107,15.78116
1.00E+00,1.00E+00,7C,3.42E+02,3.42E+01,0.26,0.5,46.25,8.00E+00,0.00E+00,FM,2.30E-03,0.06718944,9.976526,0.148483539,5.93934
1.00E+00,1.00E+00,7D,2.92E+02,2.92E+01,0.26,0.5,46.25,8.00E+00,0.00E+00,FM,5.60E-03,0.035544257,14.030612,0.394736405,15.78946
1.00E+00,1.00E+00,7E,2.42E+02,2.42E+01,0.26,0.5,46.25,8.00E+00,0.00E+00,FM,6.50E-03,0.036937695,14.175258,0.3837613,15.35046
1.00E+00,1.00E+00,7F,1.92E+02,1.92E+01,0.26,0.5,46.25,8.00E+00,0.00E+00,FM,1.13E-02,0.014978425,12.068966,0.805756632,32.23026
1.00E+00,2.00E+00,8A,3.76E+02,3.76E+01,0.26,0.5,46.25,8.00E+00,0.00E+00,FM,3.00E-03,0.037073355,4.624592,0.124741661,4.98966
1.00E+00,2.00E+00,8B,3.76E+02,3.76E+01,0.52,0.5,46.25,8.00E+00,0.00E+00,FM,7.80E-03,0.0508555,8.821321,0.173458552,6.93834
1.00E+00,2.00E+00,8C,3.76E+02,3.76E+01,0.78,0.5,46.25,8.00E+00,0.00E+00,FM,2.26E-02,0.147184786,10.586924,0.071929474,2.87718
1.00E+00,2.00E+00,8D,3.76E+02,3.76E+01,1.04,0.5,46.25,8.00E+00,0.00E+00,FM,3.39E-02,0.202291629,16.604478,0.082081882,3.28328
1.00E+00,2.00E+00,8E,3.76E+02,3.76E+01,1.3,0.5,46.25,8.00E+00,0.00E+00,FM,4.36E-02,0.257544118,21.139706,0.082081882,3.28328
1.00E+00,3.00E+00,29A,5.00E+02,5.00E+01,0.26,0.5,46.25,8.00E+00,0.00E+00,FM,2.80E-02,0.054517017,12.212644,0.224015258,8.96062
